일시,지점,폭염여부(1/0),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(1/0),열대야(1/0),자외선지수(단계)
2023-07-31,영천(281),1,33.7,34.5,28.1,22.5,75,1,0,4
2023-07-31,여수(168),1,33.1,32.4,28.4,24.9,74.8,1,1,4
2023-07-31,광양읍(713),1,35,34.9,29,22.8,74,1,0,4
2023-07-31,김해시(253),1,35,34.9,28.8,24.3,73.9,1,0,4
2023-07-31,남해(295),1,33.2,33.5,27.9,23.4,73.6,1,0,4
2023-07-31,경기광주(546),1,33.5,33.7,28.2,24.9,73,1,0,3
2023-07-31,울진(130),1,33.1,32.3,28.2,24.5,72.6,1,0,4
2023-07-31,북강릉(104),0,32.5,31.7,28,24.4,72.3,1,0,1
2023-07-31,구미(279),1,34.2,34.3,28.9,23.7,72.3,1,0,4
2023-07-31,양양(670),0,32,31.4,28,25,72,1,0,1
2023-07-31,하남(444),1,34.2,34,27.9,24.4,72,1,0,3
2023-07-31,부천(433),0,32.3,32.6,27.4,23.4,72,1,0,4
2023-07-31,성주(810),1,34.1,35.2,28.9,23.3,72,1,0,4
2023-07-31,양산시(257),1,35.6,36.3,29.3,24.2,70.5,1,0,4
2023-07-31,광명(437),1,34.5,34.8,29.7,26,70,1,1,3
2023-07-31,청주(131),1,33.5,33.4,29.4,25.7,69.9,1,1,4
2023-07-31,밀양(288),1,34.6,35.9,28.9,23.7,69.5,1,0,4
2023-07-31,군포(438),1,34.2,34.4,29,24.5,69,1,1,3
2023-07-31,울산(152),0,32.8,32.7,28.1,23.5,69,1,0,4
2023-07-31,포항(138),1,33.6,33.9,28.8,25.8,68,1,0,4
2023-07-31,경산(827),1,34.6,35.7,29.6,24,68,1,0,4
2023-07-31,창원(155),1,34.9,35.8,28.8,24.3,67.9,1,0,4
2023-07-31,제주(184),0,32.9,32.7,29.7,27,67.8,1,1,4
2023-07-31,삼척(876),1,34.1,34.4,29,25.6,67,1,0,1
2023-07-31,성남(572),1,33.7,34.2,29.3,25.5,67,1,0,3
2023-07-31,대구(143),1,33.6,34.4,29.6,24.7,65.9,1,0,4
2023-07-31,부산(159),1,33.3,32.5,29.2,26.1,63.3,1,1,4
2023-07-30,화천(555),1,34.7,33.2,26.9,22,90,1,0,1
2023-07-30,보성(732),0,31.7,30.9,25.7,22.1,88,1,0,4
2023-07-30,완도(170),0,32.7,31.2,27.7,25.1,87.4,1,1,4
2023-07-30,순천시(712),1,33.7,31.9,27.9,24.3,87,1,0,4
2023-07-30,계룡(636),1,34.1,33.6,26.4,22.6,87,1,0,4
2023-07-30,금산(238),1,33.4,33.2,26.6,23.3,86.4,1,0,4
2023-07-30,평택(551),1,35.1,34.4,27.6,25,86,1,0,3
2023-07-30,안성(516),1,34.4,34.1,27.4,23.8,86,1,0,3
2023-07-30,완주(734),1,34.1,33.4,26.9,23.8,86,1,0,4
2023-07-30,구례(709),1,33.5,32.5,27,23.1,86,1,0,4
2023-07-30,장성(730),0,32.9,32.7,26.6,23,86,1,0,4
2023-07-30,함양군(264),1,34.9,34.2,27.6,23.4,85.5,1,0,4
2023-07-30,광주(156),1,35.1,33.4,28.5,25,85.1,1,0,4
2023-07-30,울진(130),0,30.7,29.3,25.7,24.2,85,1,0,4
2023-07-30,담양(706),1,34.6,33.7,28.3,23.7,85,1,0,4
2023-07-30,곡성(768),1,33.9,33.1,27.1,22.6,85,1,0,4
2023-07-30,진안(703),0,32.5,31.9,25.7,21.6,85,1,0,4
2023-07-30,파주(99),1,34.4,33.3,27.5,22.7,84.8,1,0,4
2023-07-30,장흥(260),0,32.6,31.5,27.1,22.4,84.6,1,0,4
2023-07-30,고창(172),1,33.9,33.4,26.9,22.9,84.4,1,0,4
2023-07-30,압해도(789),1,33.5,32.3,27.8,23.7,84,1,0,4
2023-07-30,해남(261),1,33.4,32.5,27.7,23.6,84,1,0,4
2023-07-30,서천(614),0,32.7,31.4,27,23.5,84,1,0,4
2023-07-30,오산(550),1,35.4,35.1,27.6,23.4,84,1,0,3
2023-07-30,당진(616),1,34.8,33.7,28.3,23.3,84,1,0,4
2023-07-30,삼천포(907),1,33.2,32.1,26.8,22.9,84,1,0,4
2023-07-30,장수(248),0,32.1,31.6,25.4,21.4,84,1,0,4
2023-07-30,고흥(262),0,31.8,31.1,26.4,22.1,83.6,1,0,4
2023-07-30,울릉도(115),1,33.5,31.5,28.5,26.1,83.3,1,1,4
2023-07-30,태백(216),0,31.7,31.1,24,19,83.3,1,0,1
2023-07-30,공주(612),1,34.6,34.9,27.2,23.9,83,1,0,4
2023-07-30,증평(623),1,34.1,33.2,28.1,23.9,83,1,0,4
2023-07-30,김제(737),1,34.7,34.2,27.8,23.7,83,1,0,4
2023-07-30,화순(741),1,33.9,33.3,26.6,23.3,83,1,0,4
2023-07-30,고령(812),1,33.9,33.6,27.5,22.9,83,1,0,4
2023-07-30,의정부(532),1,35.1,34.4,28,22.5,83,1,0,4
2023-07-30,안산(545),1,34.5,34.7,27,21.7,83,1,0,4
2023-07-30,남원(247),0,32.9,32.8,26.9,23.3,82.8,1,0,4
2023-07-30,임실(244),0,32.7,32.2,26.3,22.4,82.5,1,0,4
2023-07-30,통영(162),0,32.7,31.5,27.4,24.1,82.3,1,0,4
2023-07-30,보은(226),1,33.2,33,27.2,23.7,82.3,1,0,4
2023-07-30,예산(628),1,34.2,33.6,28.3,25,82,1,1,4
2023-07-30,태안(627),1,34,32.7,28.5,24.5,82,1,1,4
2023-07-30,동해(106),0,32.2,32.2,27.2,23.9,82,1,1,1
2023-07-30,나주(710),1,33.9,33.1,27.7,23.5,82,1,0,4
2023-07-30,영광군(252),1,34,33.7,27.4,23.3,82,1,0,4
2023-07-30,고성(918),1,33,32,27.3,22.9,82,1,0,4
2023-07-30,의왕(445),1,33.8,33.3,26.1,22.1,82,1,0,4
2023-07-30,영양(801),1,34.7,34.8,27.7,21.9,82,1,0,4
2023-07-30,봉화(271),0,32,31.9,25.5,20.5,82,1,0,4
2023-07-30,문경(273),1,34.1,34.1,28,23,81.6,1,0,4
2023-07-30,세종(239),1,34.5,33.7,27.5,24.3,81.4,1,0,4
2023-07-30,영덕(277),0,32.9,31.9,27.2,22.9,81.1,1,0,4
2023-07-30,영암(731),1,34,33.1,28.3,23.9,81,1,0,4
2023-07-30,청양(618),1,34.3,33.5,28.1,23.4,81,1,0,4
2023-07-30,함안(920),1,34.1,33.5,27.5,23.1,81,1,0,4
2023-07-30,김천(822),1,35.7,35.4,28.6,22.9,81,1,0,4
2023-07-30,홍북(608),1,34,33,27.4,22.9,81,1,0,4
2023-07-30,거창(284),0,32.8,32.6,26.4,21.5,81,1,0,4
2023-07-30,강진군(259),1,33.2,32.6,28.1,23.6,80.9,1,0,4
2023-07-30,부여(236),1,34.4,34,28.2,24.7,80.6,1,0,4
2023-07-30,산청(289),1,34.3,33.6,27.4,23.1,80.6,1,0,4
2023-07-30,부안(243),1,33.5,33,27.6,24,80.5,1,0,4
2023-07-30,진도군ASOS(268),1,33,31.9,28,23.6,80.5,1,0,4
2023-07-30,전주(146),1,34,33.7,27.5,24.5,80.4,1,0,4
2023-07-30,대전(133),1,34.2,33.9,27.4,23.2,80.3,1,0,4
2023-07-30,제천(221),1,33.5,34,27.3,22.3,80.1,1,0,4
2023-07-30,영월(121),1,34.2,34.7,26.3,22.2,80.1,1,0,1
2023-07-30,아산(634),1,35.3,34.7,28.8,24.8,80,1,1,4
2023-07-30,괴산(603),1,34.7,34.2,28,23.8,80,1,0,4
2023-07-30,하동(932),1,33.5,33.1,27.7,23.3,80,1,0,4
2023-07-30,가평조종(505),1,34.7,34.6,27.5,21.3,80,1,0,4
2023-07-30,천안(232),1,34,33.7,27.4,23.3,79.8,1,0,3
2023-07-30,여수(168),0,32.6,31.3,27.9,25,79.5,1,0,4
2023-07-30,진주(192),1,33.7,33.3,27.7,23.4,79.5,1,0,4
2023-07-30,칠곡(825),1,34.8,34.9,29.3,24.3,79,1,0,4
2023-07-30,함평(754),1,33.9,33.8,28.3,24.3,79,1,0,4
2023-07-30,군위(823),1,35.5,35.5,29,23.9,79,1,0,4
2023-07-30,광양읍(713),1,34.2,33.3,28,23.9,79,1,0,4
2023-07-30,음성(619),1,33.2,32.9,26.9,22.6,79,1,0,4
2023-07-30,무주(701),1,34,34.1,27.1,22.5,79,1,0,4
2023-07-30,과천(590),1,34.8,34.9,27.5,22,79,1,0,4
2023-07-30,군산(140),1,33.2,32.8,27.7,24.1,78.8,1,0,4
2023-07-30,순창군(254),1,33.5,33.8,27.5,22.9,78.5,1,0,4
2023-07-30,영주(272),1,33.5,33.6,27.8,22.1,78.1,1,0,4
2023-07-30,논산(615),1,34.5,34.1,28.4,24.8,78,1,0,4
2023-07-30,김해시(253),1,34.7,33.5,28.7,24.7,78,1,0,4
2023-07-30,옥천(604),1,35.3,35.7,28.4,24.3,78,1,0,4
2023-07-30,창녕(919),1,34.8,34.5,28.6,23.8,78,1,0,4
2023-07-30,여주(548),1,34.2,33.8,27.8,23.2,78,1,0,3
2023-07-30,시흥(565),1,34.9,35.5,28.1,22.9,78,1,0,4
2023-07-30,이천(203),1,34.9,34.7,28.4,22.9,77.6,1,0,4
2023-07-30,철원(95),1,33.5,32.8,27.6,21.8,77.6,1,0,1
2023-07-30,상주(137),1,34.9,34.4,29,24.2,77.4,1,0,4
2023-07-30,의성(278),1,34.9,35.5,28.8,23.1,77.1,1,0,4
2023-07-30,화성(571),1,34.8,34.8,28.3,24.7,77,1,0,4
2023-07-30,예천(815),1,34.7,34.9,28.7,23.4,77,1,0,4
2023-07-30,단양(601),1,35,35.8,28,22.8,77,1,0,4
2023-07-30,인제(211),1,33.5,33.7,27.2,22.9,76.9,1,0,1
2023-07-30,동두천(98),1,34.2,33.5,28.1,22.5,76.6,1,0,4
2023-07-30,의령군(263),1,34.1,33.9,28.3,23.6,76.4,1,0,4
2023-07-30,영천(281),1,33.3,34,28.3,23.4,76.4,1,0,4
2023-07-30,거제(294),1,33.2,32.6,27.4,23.7,76.3,1,0,4
2023-07-30,남해(295),0,32.4,32,27,23.3,76.1,1,0,4
2023-07-30,무안(699),1,33.6,33.2,28.4,24.3,76,1,0,4
2023-07-30,청도(813),1,33.7,34,27.8,22.6,76,1,0,4
2023-07-30,안동(136),1,34.5,34.3,29,24.1,75.9,1,0,4
2023-07-30,추풍령(135),0,32.9,32.9,27.1,21.8,75.9,1,0,4
2023-07-30,정읍(245),1,33.9,34.5,27.7,23,75.8,1,0,4
2023-07-30,수원(119),1,34.4,34.4,28.1,24.1,75.6,1,0,4
2023-07-30,북춘천(93),1,34.1,34.8,28.4,22.4,75.6,1,0,1
2023-07-30,합천(285),1,33.7,33.9,27.8,23.3,75.5,1,0,4
2023-07-30,충주(127),1,34.2,33.9,28.8,24.2,75.4,1,0,4
2023-07-30,보령(235),0,32.7,31.9,28.5,25.4,75.3,1,0,4
2023-07-30,서산(129),1,34.1,33.5,28.7,24.5,75.1,1,1,4
2023-07-30,익산(702),1,33.7,33.6,28.2,24.6,75,1,0,4
2023-07-30,용인(549),1,33,33.5,26.9,22.3,75,1,0,3
2023-07-30,목포(165),1,33.2,32.8,28.8,25.3,74.9,1,0,4
2023-07-30,정선군(217),1,35.3,36.2,27.1,21.7,74.9,1,0,1
2023-07-30,청송군(276),1,33.9,34.4,27.5,22.1,74.3,1,0,4
2023-07-30,울산(152),1,33,32.8,28.2,24.2,74,1,0,4
2023-07-30,진천(602),1,34.7,34.8,27.9,23.9,74,1,0,4
2023-07-30,연천청산(652),1,33.8,34,27.9,22.3,74,1,0,4
2023-07-30,양주(598),1,35,35.3,28.3,22.2,74,1,0,4
2023-07-30,경주시(283),1,35.5,35.7,29.2,23.3,73.6,1,0,4
2023-07-30,양평(202),1,33.7,34.4,28.3,23.2,73.4,1,1,4
2023-07-30,홍천(212),1,33.6,34.5,28.2,22.7,73.3,1,0,1
2023-07-30,양구(556),1,33.9,34.7,27.8,22.7,73,1,0,1
2023-07-30,포천(504),1,35.1,35.3,28.6,22.3,73,1,0,4
2023-07-30,남양주(541),1,35,36,28.5,22.2,73,1,0,4
2023-07-30,창원(155),1,33.6,33.7,28.6,24.8,72.6,1,0,4
2023-07-30,서울(108),1,34.7,34.9,28.8,24.9,72.5,1,1,4
2023-07-30,횡성(536),1,34.9,35.2,28.2,22.9,72,1,0,1
2023-07-30,구리(569),1,34.1,34.9,28,22.8,72,1,0,4
2023-07-30,경기광주(546),1,33.8,33.8,27.5,22.6,72,1,0,3
2023-07-30,양산시(257),1,34.8,35.2,29.5,24.6,71.6,1,0,4
2023-07-30,간성(517),1,33.5,33.6,27.9,23.2,71,1,0,1
2023-07-30,부산(159),1,33.1,32.1,29.2,26.7,70.5,1,1,4
2023-07-30,구미(279),1,34.1,34.9,29,24.1,70.5,1,0,4
2023-07-30,하남(444),1,33.8,34.3,27.4,21.5,70,1,0,4
2023-07-30,청주(131),1,34.6,34.8,29.2,26.5,69.4,1,1,4
2023-07-30,군포(438),1,34.5,35.8,28.5,25.3,69,1,0,4
2023-07-30,성주(810),1,34.3,35.9,29.3,23.9,69,1,0,4
2023-07-30,인천(112),1,34.1,33.7,29.4,25.4,68.5,1,1,4
2023-07-30,성남(572),1,34.1,35,28.2,23.3,68,1,1,4
2023-07-30,평창(526),1,33.1,34.6,27.1,21.7,68,1,0,1
2023-07-30,삼척(876),1,33.5,33.7,29.4,25.4,67,1,1,1
2023-07-30,경산(827),1,34.5,35.7,29.6,24.4,67,1,0,4
2023-07-30,부천(433),1,33.2,34.2,27.8,22.7,67,1,0,4
2023-07-30,속초(90),1,33.9,35.1,29.1,24.1,66.9,1,1,1
2023-07-30,원주(114),1,33.3,34.3,28.5,23.7,66.4,1,1,1
2023-07-30,포항(138),1,33.5,33.6,29.8,26.6,66.1,1,1,4
2023-07-30,대구(143),1,34.2,35.5,29.8,25,65.4,1,0,4
2023-07-30,광명(437),1,35.3,36.8,29.7,24.4,65,1,0,4
2023-07-30,밀양(288),1,34.1,35.5,29.2,24.3,64.9,1,0,4
2023-07-30,제주(184),1,34.2,34.1,30,26.5,64.1,1,1,4
2023-07-30,북강릉(104),0,32.9,32.8,29.1,24.6,64.1,1,1,1
2023-07-30,양양(670),1,33.2,34.4,29.4,24.2,64,1,1,1
2023-07-30,흑산도(169),0,31.3,28.9,25.8,23.7,92,0,0,4
2023-07-29,화천(555),1,34.6,33.4,26.4,22.8,91,1,0,1
2023-07-29,동해(106),0,32.1,31,26.5,23.7,89.3,1,0,1
2023-07-29,의정부(532),1,35.1,33.5,27.9,24,88,1,0,4
2023-07-29,함양군(264),1,35.9,35.2,27.9,23.3,87.8,1,0,4
2023-07-29,완도(170),1,33.1,31.8,27.9,25.5,86.5,1,1,4
2023-07-29,담양(706),1,36.2,35.7,28.7,23.8,86,1,0,4
2023-07-29,파주(99),1,33.1,31.2,26.7,22.7,85.8,1,0,3
2023-07-29,압해도(789),1,33.5,31.9,28,24.4,85,1,0,3
2023-07-29,순천시(712),1,34.8,33.5,28.8,24,85,1,0,4
2023-07-29,영주(272),1,34,33.4,27.1,22.5,84.3,1,0,4
2023-07-29,김천(822),1,36.2,35.6,27.9,22.5,84,1,0,4
2023-07-29,철원(95),1,33.6,32.4,26.6,22,84,1,0,1
2023-07-29,울진(130),0,30.9,29.3,26,24.4,83.6,1,0,4
2023-07-29,문경(273),1,34.6,33.8,27.9,22.9,83.1,1,0,4
2023-07-29,당진(616),1,34.7,33.6,28.5,24.8,83,1,0,4
2023-07-29,함안(920),1,35.6,35.4,28.3,24.6,83,1,0,4
2023-07-29,장성(730),1,34.4,34,27.7,23,83,1,0,4
2023-07-29,구례(709),1,35.6,34.9,28.2,22.8,83,1,0,4
2023-07-29,고령(812),1,34.1,35.3,28.1,22.7,83,1,0,4
2023-07-29,곡성(768),1,35.5,35.2,28.2,22.2,83,1,0,4
2023-07-29,광주(156),1,35.6,34.7,29.6,24.5,82.4,1,1,4
2023-07-29,장흥(260),1,33.4,32.7,27.8,23.4,82.1,1,0,4
2023-07-29,군위(823),1,35.3,35,28.6,23.6,82,1,0,4
2023-07-29,청양(618),1,34.9,34.4,27.8,23.5,82,1,0,4
2023-07-29,영양(801),1,34.6,35,27.6,22.8,82,1,0,4
2023-07-29,삼천포(907),1,33.8,32.5,27.4,22.8,82,1,0,4
2023-07-29,가평조종(505),1,34.5,33.8,27.3,22.7,82,1,0,4
2023-07-29,고성(918),1,34.2,33.4,28,22.5,82,1,0,4
2023-07-29,상주(137),1,35.1,34.5,28.7,24.1,81.9,1,0,4
2023-07-29,고흥(262),0,32.8,31.9,27,22.3,81.9,1,0,4
2023-07-29,해남(261),1,33.8,32.6,28.4,24.7,81.5,1,0,4
2023-07-29,통영(162),0,32.4,31.3,27.5,23.6,81.4,1,0,4
2023-07-29,제천(221),1,33.4,33.6,27.2,22.4,81.4,1,0,4
2023-07-29,진도군ASOS(268),1,33,31.9,28.2,24.6,81.3,1,0,3
2023-07-29,동두천(98),1,33.9,32,27.3,23.3,81.1,1,0,3
2023-07-29,장수(248),0,32.5,33.3,26.1,21,81.1,1,0,4
2023-07-29,예산(628),1,34.4,34.1,28.7,24.6,81,1,1,4
2023-07-29,태안(627),1,34.6,34.2,28.6,24.5,81,1,0,3
2023-07-29,보은(226),1,33.6,33.6,27.9,23.9,81,1,0,4
2023-07-29,연천청산(652),1,33.1,32,26.9,22.7,81,1,0,3
2023-07-29,보성(732),0,32.8,32.1,27,22.6,81,1,0,4
